spt,mae_train,mse_train,r2_train,mae_test,mse_test,r2_test
0,2.4569387,11.435526,0.9558525843934568,3.1950326,22.542559,0.9230561965512556
1,2.412538,11.285476,0.957779875833789,2.7978344,13.3082075,0.9374986514375602
2,2.3858435,11.028722,0.9573540915630092,3.189611,19.293314,0.9349871410605424
3,2.4520044,11.51398,0.9521493615777289,3.877683,42.74581,0.8990595504404439
4,2.7216332,15.026274,0.9446032063071692,2.7843564,14.1182,0.9204166060038744
5,2.4378622,11.394024,0.9569950866974817,3.333576,20.159998,0.9158831602702759
6,2.5233738,12.11851,0.9539646240931574,3.7376893,27.036697,0.8939810027694567
7,2.6511912,13.377707,0.9499300606400868,2.773375,13.792201,0.9371855645093039
8,2.3642213,10.576682,0.9600886840961678,3.0118988,17.606173,0.926392897165262
9,2.5776696,12.769082,0.9521024590385907,2.7107008,13.855948,0.9383342309952399
